"",tSNE_1,tSNE_2
b.cells1147,11.1997298812451,-41.8342174181376
b.cells6276,10.1456697935948,-44.5381211979415
b.cells6144,14.3523148780225,-34.6042084256884
b.cells6285,2.76584631004412,-46.1761755951028
b.cells8679,5.19609887786013,-39.4660210887738
b.cells6455,5.48693683596382,-34.7683022263431
b.cells96,15.7021519160289,-33.6802176867855
b.cells2344,4.68238816618182,-35.8208564814191
b.cells6713,4.87673978874338,-42.540593402812
b.cells5182,6.22908835307348,-38.4559284690131
b.cells6988,7.84951545721765,-36.2236267913412
b.cells5491,6.47832267035198,-44.3971725116226
b.cells2848,7.7899383582816,-40.7080853767402
b.cells9301,1.741880331363,-41.7913674463954
b.cells2944,19.7727078566086,-30.5799428926406
b.cells8432,22.8585836386342,-27.683837113021
b.cells2882,5.16694406891988,-41.097960974041
b.cells2687,17.9701482215118,-34.4280115240969
b.cells2338,12.1384373811615,-40.0799611128034
b.cells3187,7.36546056535408,-45.7955916140694
b.cells3047,12.1493604171295,-37.0814638988642
b.cells1601,19.9753407543559,-34.095180822017
b.cells403,10.5998076389132,-44.6115232148892
b.cells2202,20.9511055415585,-29.2478677016779
b.cells8155,9.12766425287477,-44.2903611552526
b.cells5288,17.397403318635,-35.6256143561239
b.cells9200,9.82805964869292,-38.1051826694892
b.cells8361,14.2406282650714,-32.7116758016964
b.cells461,-0.193622007753888,-40.789836411916
b.cells4586,7.5486893967372,-35.0464928854511
b.cells2667,20.4883216051847,-31.1135365885312
b.cells3063,11.5596325738339,-44.0294863833243
b.cells5100,1.62852919593408,-42.3129679411401
b.cells1821,7.53922024742803,-38.8112363574545
b.cells7635,2.64583846914203,-46.2463528457653
b.cells2023,17.07636135933,-29.7580604143442
b.cells2601,5.59073276473588,-43.9018534037412
b.cells9969,19.0978544441511,-32.7581409869727
b.cells8111,15.4740343334763,-36.5728881735001
b.cells5559,3.30528662170951,-35.7980997448113
b.cells6493,4.49656634394919,-33.9568639432337
b.cells3132,3.95290521972479,-43.2722030462172
b.cells6245,10.1273011423365,-36.1698353220061
b.cells3312,21.7157492187522,-30.5885895872536
b.cells5041,0.31275014931333,-41.8821258852533
b.cells6798,19.9241205146151,-34.1206310836513
b.cells4869,10.4106080524707,-38.7803737320482
b.cells2449,3.72543662001275,-37.895898674706
b.cells7683,8.69078196382609,-43.8003123459779
b.cells741,4.21121335196062,-40.2272194412158
b.cells3108,20.44974431344,-29.3818702472177
b.cells7197,3.03040891572194,-36.3373177852052
b.cells5062,18.6718522710804,-29.4744108622062
b.cells1535,18.6457139471555,-32.9717443217972
b.cells5055,20.2666671805499,-30.6144652691879
b.cells4954,21.0915523009205,-28.8465925535126
b.cells7534,6.89270862020532,-41.3107592376065
b.cells1752,14.7375284565331,-38.1965702816802
b.cells8506,9.13789984666717,-41.8444667789233
b.cells8670,23.7493879244843,-27.4344087243237
b.cells420,17.1323588256902,-32.0748213468619
b.cells3180,19.5627931685465,-30.2800303340648
b.cells138,12.6247145331668,-30.7511697242442
b.cells2396,15.9435041434189,-31.2294575386008
b.cells7080,13.846897312122,-41.5764115942732
b.cells3087,4.15119863136243,-35.3272464520466
b.cells5095,8.36814033695844,-32.8026772027032
b.cells518,20.3386238880301,-32.1199044092737
b.cells5655,8.61097179647535,-32.7526422767256
b.cells1217,3.7262553628393,-38.0385060395004
b.cells8941,6.96304619287761,-33.061659542184
b.cells147,4.56017842975806,-34.6416231530354
b.cells7841,8.56449515204807,-32.1077318168753
b.cells901,7.50069078546918,-37.146056939549
b.cells5198,14.6643670466763,-37.9278020122426
b.cells3847,6.6700853442781,-35.5419723940129
b.cells702,23.1926166037953,-26.9198265941306
b.cells3209,22.3250956712628,-29.8391887478599
b.cells6689,4.88228046042548,-34.5848918808779
b.cells9269,2.46770596944681,-45.5886017827145
b.cells4721,11.7300126227347,-31.549771356121
b.cells1427,16.1286483211453,-37.163026335825
b.cells5444,16.6857469463123,-34.6130115236564
b.cells1962,11.0704939314681,-35.7558236941455
b.cells8986,8.78915435208146,-39.794600955565
b.cells3895,23.2830891285528,-27.309697370385
b.cells3109,13.9933301922714,-31.4465471903706
b.cells1600,17.2624546279009,-36.1642299352091
b.cells8959,9.92621929960047,-43.6165242768997
b.cells1664,14.6310550770565,-37.7755680501498
b.cells8999,1.92646772075614,-42.5119420479763
b.cells1340,14.8549761591304,-39.6707617375985
b.cells1316,11.0658895804137,-30.6476991540884
b.cells1052,4.44996984658743,-41.3398672303143
b.cells5111,7.98758618849798,-37.0220650379755
b.cells2999,9.60512416594276,-32.3695648648807
b.cells267,21.5409879866043,-31.1886987507708
b.cells3093,16.8047060264363,-36.6231754454991
b.cells7411,18.7260724452745,-32.8246785596419
b.cells355,11.2514699906314,-43.5722735362711
b.cells5642,14.9660633153748,-40.2910861337859
b.cells2798,11.0141392731237,-41.7697485874234
b.cells2039,14.1927044693685,-32.4191967244074
b.cells1335,9.31306656116614,-32.7579829379127
b.cells3251,9.11498783540794,-31.7853606107198
b.cells1548,10.8617557281027,-38.8010002187739
b.cells1297,15.0104915247892,-40.4686294343369
b.cells4346,8.87305821774446,-44.0356477643112
b.cells386,5.55483036272567,-43.7038909266551
b.cells7116,20.7022988863848,-31.3850662061062
b.cells1006,12.0594053752954,-43.2195832603534
b.cells9478,-0.18985526198242,-43.1678784946906
b.cells1215,19.8110538419964,-32.0609680811785
b.cells2191,9.52547689180535,-36.5993634963765
b.cells9104,4.42289972590078,-41.6705817570062
b.cells9430,17.0919718247798,-35.6402228222355
b.cells2783,21.1778399948948,-32.8425806096368
b.cells1231,1.46032038162838,-39.4382937245876
b.cells7945,9.13394216967871,-39.5726509220431
b.cells7417,11.6175643828435,-38.4284603848734
