"",tSNE_1,tSNE_2
b.cells1147,-6.40841272699882,-42.4166185434902
b.cells6276,-8.93017407417961,-40.7645050371568
b.cells6144,-10.7760198095723,-36.2546765985221
b.cells6285,-8.97382278879541,-40.2775510193229
b.cells8679,-3.10185010291504,-44.3862497691823
b.cells6455,-2.51260278226439,-40.1953611084247
b.cells96,-12.9410568569423,-36.9182899224972
b.cells2344,1.22154249955934,-39.6651760501142
b.cells6713,-2.83171851516891,-41.8923234898605
b.cells5182,-9.19842129642995,-40.1350281145352
b.cells6988,-9.02936267683262,-34.4781829350418
b.cells5491,-13.0352420387767,-29.7531299914777
b.cells2848,-8.44498851024397,-44.3274966281951
b.cells9301,0.850689309941093,-42.8801603181306
b.cells2944,-18.8357479131219,-30.4829779050933
b.cells8432,-20.6135059446662,-27.160983951984
b.cells2882,-8.85311677928657,-35.9966499829656
b.cells2687,-18.3108815034719,-32.3313741145395
b.cells2338,-9.96877267648816,-38.8511656318083
b.cells3187,-8.98131959881352,-44.7829812835929
b.cells3047,-8.28437765044818,-37.9418692406698
b.cells1601,-18.5214678837914,-35.1741918881325
b.cells403,-15.436648025878,-39.9950151421071
b.cells2202,-17.1671798613959,-29.6327329229929
b.cells8155,-12.6437206427359,-40.6734941960473
b.cells5288,-18.0147409317012,-32.4736360128796
b.cells9200,-7.32993481621301,-37.0099411716746
b.cells8361,-11.6061646841287,-28.3444233373955
b.cells461,-1.46757511049384,-37.1056705601116
b.cells4586,-0.82622601948345,-35.0650148867233
b.cells2667,-18.2343747195828,-32.6408396463612
b.cells3063,-14.4436564620776,-42.1766551922275
b.cells5100,-0.125916656236473,-43.4600744110782
b.cells1821,-6.30561177362038,-36.2078671605342
b.cells7635,-6.06944021089254,-33.506609516972
b.cells2023,-14.0567216095824,-28.7295694947462
b.cells2601,2.0152577777381,-38.9197129117505
b.cells9969,-18.2231312784866,-33.3582755703919
b.cells8111,-17.0432051981237,-35.6765231193953
b.cells5559,-5.84454657700188,-33.6756212233067
b.cells6493,2.95321002561968,-37.7843275825191
b.cells3132,-5.42378019761212,-41.2515280819349
b.cells6245,-10.4522315099159,-34.9893106319696
b.cells3312,-20.4219442388574,-31.6341709440337
b.cells5041,-2.00821538619765,-38.2448465776521
b.cells6798,-13.2197966756122,-32.9362321979846
b.cells4869,-8.946677911508,-35.4829562465572
b.cells2449,-10.650249406414,-40.5550519518517
b.cells7683,-8.62201346828434,-43.9718838810271
b.cells741,-5.99777074444335,-42.1781886780116
b.cells3108,-17.9975855365236,-28.7845906452168
b.cells7197,0.316739247018096,-39.5379143203165
b.cells5062,-16.5493846277837,-28.8085354288797
b.cells1535,-13.310859088537,-33.1253042581987
b.cells5055,-17.5398834411857,-27.9844380326883
b.cells4954,-18.5241144578678,-28.8007417801363
b.cells7534,-4.04281138296772,-35.4647655805862
b.cells1752,-7.00380512909309,-35.3451467587281
b.cells8506,-3.85558920998039,-43.8174588218884
b.cells8670,-20.5002341771432,-27.0449566926151
b.cells420,-12.0577283330917,-29.79369218716
b.cells3180,-17.4309183024164,-27.7871983603463
b.cells138,-4.06163057982783,-36.7239539982597
b.cells2396,-11.6956596470157,-31.1714478009692
b.cells7080,-14.1720684226579,-39.4521789759528
b.cells3087,-10.2867476523706,-30.6744988307703
b.cells5095,1.41187728324955,-39.6649488409512
b.cells518,-16.9295717538859,-35.4070318238875
b.cells5655,-1.31085270558875,-36.3024423233376
b.cells1217,-1.78712543902803,-38.0748203144342
b.cells8941,-10.3162562662524,-38.834887641905
b.cells147,-5.38051047451325,-41.0951126935917
b.cells7841,-6.07680604657838,-36.8811791832972
b.cells901,-12.9557736586374,-36.4498030489026
b.cells5198,-12.3559281233099,-34.8280630792385
